Date,RiskOn,Momentum,Signal,Position,Strat_Ret,Strat_Eq
2022-02-28,16793.900390625,0.155876285888082,1,1.0,-0.03148523378512036,211.31153622934042
2022-03-31,17464.75,0.18883033264627125,1,1.0,0.03994602765117583,219.75259269857008
2022-04-30,17102.55078125,0.16891766428077615,1,1.0,-0.020738872228345695,215.19517175674676
2022-05-31,16584.55078125,0.06428568608454821,1,1.0,-0.030287879663418282,208.67736629042977
2022-06-30,15780.25,0.0037369207772794955,1,1.0,-0.048496989267826196,198.55714229700456
2022-07-31,17158.25,0.0885108029600723,1,1.0,0.08732434530504896,215.89601475373192
2022-08-31,17759.30078125,0.03660368143592918,1,1.0,0.035029841694228736,223.45881797297
2022-09-30,17094.349609375,-0.029730747532313417,0,1.0,-0.03744241848626417,215.09197939598016
2022-10-31,18012.19921875,0.019270912483967173,1,0.0,-0.001,214.87688741658414
2022-11-30,18758.349609375,0.10452391023389618,1,1.0,0.04042472451938506,223.5632263959825
2022-12-31,18105.30078125,0.04328960480003197,1,1.0,-0.034813767827347686,215.7801481375
2023-01-31,17662.150390625,0.018587288154779946,1,1.0,-0.024476278852209377,210.4986530609155
2023-02-28,17303.94921875,0.030371076180118806,1,1.0,-0.02028072255941904,206.2295882790557
2023-03-31,17359.75,-0.006012110107502244,0,1.0,0.003224742545449466,206.89462560650966
2023-04-30,18065.0,0.05627518555917166,1,0.0,-0.001,206.68773098090315
2023-05-31,18534.400390625,0.11757023962201263,1,1.0,0.02498396848187101,211.85161073731945
2023-06-30,19189.05078125,0.21601690602176782,1,1.0,0.035320829205574666,219.33438529709818
2023-07-31,19753.80078125,0.15127129988489507,1,1.0,0.029430846081861972,225.7895818312369
2023-08-31,19253.80078125,0.08415308791762066,1,1.0,-0.02531158461791272,220.0744897248724
2023-09-30,19638.30078125,0.14881824872002314,1,1.0,0.01997008301729397,224.4693955546667
2023-10-31,19079.599609375,0.059259859257712266,1,1.0,-0.02844956791824016,218.08333824026792
2023-11-30,20133.150390625,0.0732900713484359,1,1.0,0.05521870494244152,230.12561774741994
2023-12-31,21731.400390625,0.2002783413093152,1,1.0,0.07938399947303942,248.39390966541396
2024-01-31,21725.69921875,0.23007101277327568,1,1.0,-0.0002623471921975318,248.32874422065427
2024-02-29,21982.80078125,0.27039212282420166,1,1.0,0.011833983335188147,251.2674624414097
2024-03-31,22326.900390625,0.286130295115137,1,1.0,0.01565312867996771,255.20058436409406
2024-04-30,22604.849609375,0.2513063719554387,1,1.0,0.012449073265302424,258.3775951361906
